municipio;parroquia;nombre;tipo_centro;situacion;latitud;longitud
MP. BRUZUAL;PQ. SABANA DE UCHIRE;UNIDAD EDUCATIVA SAN ANTONIO  154-80 NUCLEO DE EDUCACION RURAL 504;UNIDAD EDUCATIVA;Cerrado;10.01095101;-65.55110103
MP. BRUZUAL;PQ. SABANA DE UCHIRE;GRUPO ESCOLAR LICENCIADO URBANEJA;GRUPO ESCOLAR;Cerrado;10.01810403;-65.52154404
MP. BRUZUAL;PQ. SABANA DE UCHIRE;UNIDAD EDUCATIVA NACIONAL PIEDRA AZUL NUCLEO ESCOLAR RURAL 504;UNIDAD EDUCATIVA;Cerrado;10.01778597;-65.51671104
MP. BRUZUAL;PQ. SABANA DE UCHIRE;UNIDAD EDUCATIVA EL LIMON NUCLEO ESCOLAR RURAL 504;UNIDAD EDUCATIVA;Cerrado;10.02330198;-65.50670997
MP. BRUZUAL;PQ. SABANA DE UCHIRE;ESCUELA ESTADAL DE CHAVITO;EDUCACION BASICA;Cerrado;10.03957002;-65.44072296
MP.S JUAN CAPISTRANO;PQ. BOCA DE UCHIRE;ESCUELA BASICA TOMAS IGNACIO POTENTINI;EDUCACION BASICA;Cerrado;10.12683996;-65.42713602
MP.S JUAN CAPISTRANO;PQ. BOCA DE UCHIRE;UNIDAD EDUCATIVA NACIONAL AUGUSTO D`AUBETERRE;UNIDAD EDUCATIVA;Cerrado;10.12977504;-65.42087796
MP.S JUAN CAPISTRANO;PQ. BOCA DE CHAVEZ;ESCUELA CONCENTRADA NUMERO 2069;EDUCACION BASICA;Cerrado;10.08961596;-65.37479598
MP. PE?ALVER;PQ. SUCRE;ESCUELA BOLIVARIANA AGUAS CALIENTE;EDUCACION BASICA;Cerrado;10.03106403;-65.31957099
MP. BRUZUAL;PQ. GUANAPE;ESCUELA CREACION NACIONAL;EDUCACION BASICA;Cerrado;9.995247;-65.317257
MP. BRUZUAL;CM. CLARINES;LICEO BOLIVARIANO DOCTOR JOSE RAFAEL DOMINGUEZ;LICEO;Cerrado;9.94052304;-65.162286
MP. PE?ALVER;PQ. SUCRE;ESCUELA NACIONAL UNITARIA NUMERO 1290 NUEVO UNARE;EDUCACION BASICA;Cerrado;10.09859697;-65.20855401
MP. PE?ALVER;PQ. SUCRE;UNIDAD EDUCATIVA PIO CEBALLOS;UNIDAD EDUCATIVA;Cerrado;10.10747601;-65.24994303
MP. CARVAJAL;PQ. VALLE GUANAPE;ESCUELA BASICA NACIONAL CARVAJAL;EDUCACION BASICA;Cerrado;9.91139598;-65.68149699
MP. CARVAJAL;PQ. VALLE GUANAPE;ESCUELA BOLIVARIANA LAS AGUADITAS;EDUCACION BASICA;Cerrado;9.91163799;-65.67732504
MP. CARVAJAL;PQ. VALLE GUANAPE;LICEO BOLIVARIANO SIMON RODRIGUEZ;LICEO;Cerrado;9.91509201;-65.67636204
MP. CARVAJAL;PQ. VALLE GUANAPE;ESCUELA BOLIVARIANA JOSE DE JESUS CUMACHE;EDUCACION BASICA;Cerrado;9.90839502;-65.67625998
MP. CARVAJAL;PQ. VALLE GUANAPE;ESCUELA BOLIVARIANA LAS COCUIZAS NUCLEO EDUCACION RURAL 128;EDUCACION BASICA;Cerrado;9.79087203;-65.64873798
MP. BRUZUAL;PQ. GUANAPE;UNIDAD EDUCATIVA MAYARES NUMERO 2118 - 2184;UNIDAD EDUCATIVA;Cerrado;9.91233198;-65.54584503
MP. BRUZUAL;PQ. GUANAPE;GRUPO ESCOLAR DIEGO BAUTISTA URBANEJA;GRUPO ESCOLAR;Cerrado;9.91770903;-65.51077302
MP. BRUZUAL;PQ. GUANAPE;UNIDAD EDUCATIVA NACIONAL MANUEL EZEQUIEL BRUZUAL;UNIDAD EDUCATIVA;Cerrado;9.91522098;-65.50986501
MP. BRUZUAL;PQ. GUANAPE;ESCUELA LA CIRILERA NUCLEO ESTADAL RURAL  444;EDUCACION BASICA;Cerrado;9.83942802;-65.50641099
MP. CAJIGAL;CM. ONOTO;UNIDAD EDUCATIVA BOLIVARIANA GUARIBE TENEPE NUMERO 1195-269-140 NUCLEO ESCOLAR RURAL 444;UNIDAD EDUCATIVA;Cerrado;9.75841299;-65.48649597
MP. BRUZUAL;PQ. GUANAPE;UNIDAD EDUCATIVA BOLIVARIANA EL GUAMO NUCLEO ESCOLAR RURAL 077;UNIDAD EDUCATIVA;Cerrado;9.92049804;-65.44905903
MP. BRUZUAL;PQ. GUANAPE;ESCUELA  MIXTA CONCENTRADA NUMERO 47-1355-2000 GUANAPITO;EDUCACION BASICA;Cerrado;9.84074904;-65.36471004
MP. BRUZUAL;CM. CLARINES;ESCUELA NACIONAL BOLIVARIANA NUCLEO ESTADAL RURAL 259 CARRIZALITO;EDUCACION BASICA;Cerrado;9.76929102;-65.29093902
MP. BRUZUAL;CM. CLARINES;ESCUELA CONCENTRADA NUMERO 1243-288 PASO REAL;EDUCACION BASICA;Cerrado;9.88790202;-65.19368898
MP. BRUZUAL;CM. CLARINES;LICEO RAFAEL PE?ALVER;LICEO;Cerrado;9.93751803;-65.16749601
MP. BRUZUAL;CM. CLARINES;ESCUELA ESTADAL PEDRO ANTONIO MEDINA;EDUCACION BASICA;Cerrado;9.94038903;-65.15902197
MP. BRUZUAL;CM. CLARINES;ESCUELA BOLIVARIANA CARUTICO;EDUCACION BASICA;Cerrado;9.88857702;-65.15900397
MP. BRUZUAL;CM. CLARINES;CENTRO DE EDUCACION INTEGRAL EL CUATRO NUCLEO ESTADAL RURAL 183;CENTRO DE EDUCACION INTEGRAL;Cerrado;9.94407903;-65.13972399
MP. PE?ALVER;CM. PUERTO PIRITU;ESCUELA BOLIVARIANA PACHAQUITO;EDUCACION BASICA;Cerrado;9.97752096;-65.10321801
MP. PE?ALVER;CM. PUERTO PIRITU;ESCUELA BOLIVARIANA LA MEDIANIA;EDUCACION BASICA;Cerrado;10.00119303;-65.07013599
MP. PE?ALVER;CM. PUERTO PIRITU;UNIDAD EDUCATIVA NACIONAL CAYAURIMA;UNIDAD EDUCATIVA;Cerrado;10.05105897;-65.06180604
MP. PIRITU;PQ. PIRITU;UNIDAD EDUCATIVA BOLIVARIANA GUAYABAL;UNIDAD EDUCATIVA;Cerrado;9.92935701;-65.06566902
MP. PE?ALVER;CM. PUERTO PIRITU;ESCUELA ESTADAL EZEQUIEL ZAMORA;EDUCACION BASICA;Cerrado;10.05650199;-65.05524504
MP. PE?ALVER;CM. PUERTO PIRITU;ESCUELA BOLIVARIANA CECILIO ACOSTA;EDUCACION BASICA;Cerrado;10.05577704;-65.05335999
